plan_area,2015_CO2_ton,2016_CO2_ton,2017_CO2_ton,2018_CO2_ton,2019_CO2_ton,2020_CO2_ton,2021_CO2_ton
ANG MO KIO,70564.78,86694.59,84227.54,82060.88,88765.65,75254.18,76950.64
BEDOK,101540.08,104840.3,101913.71,93344.41,87001.49,97807.0,78864.74
BISHAN,40367.97,24306.12,24271.57,24356.27,42277.23,40012.02,42039.85
BUKIT BATOK,10071.8,14117.95,13877.7,14198.3,23369.39,20540.54,21008.52
BUKIT MERAH,120410.69,350934.67,353173.39,346824.51,368940.9,345045.48,339269.9
BUKIT PANJANG,12080.85,13799.5,13799.5,13799.5,30072.54,26487.78,27955.33
BUKIT TIMAH,47856.41,98302.75,95787.53,91095.13,82684.94,68319.83,70743.97
CENTRAL WATER CATCHMENT,4037.59,4037.59,4037.59,4037.59,10216.45,8481.17,9565.51
CHANGI,15549.45,94138.0,89806.69,89568.55,113218.23,86214.44,104767.77
CHOA CHU KANG,23884.87,23776.49,23568.94,22699.94,42869.37,37277.17,42019.68
CLEMENTI,18734.65,35028.01,28128.26,27636.55,27016.6,23829.5,24749.43
DOWNTOWN CORE,898921.73,1154024.7,1128637.36,1109047.91,1461349.76,1254606.21,1208218.38
GEYLANG,71744.83,71142.24,69539.28,67925.29,111749.8,92688.15,96251.85
HOUGANG,13095.92,40279.03,39277.75,37974.05,57515.32,54498.03,55216.48
JURONG EAST,173857.82,186874.6,181799.38,179819.72,257405.3,237508.1,241014.73
JURONG WEST,26352.26,30788.94,31724.96,31633.63,43162.48,38054.45,40375.27
KALLANG,81217.14,138271.83,132508.01,129494.28,187548.14,171479.1,167602.87
LIM CHU KANG,465.12,654.14,654.14,654.14,1443.83,1369.4,1300.66
MANDAI,449.39,449.39,449.39,449.39,398.56,1312.19,1434.99
MARINE PARADE,63795.85,66074.62,66900.72,65818.83,71227.01,51769.76,56489.6
MUSEUM,76008.32,61911.18,56055.5,52290.18,97311.0,74242.19,80631.66
NEWTON,17360.79,48132.19,46167.67,45600.66,57072.06,49932.91,51370.44
NOVENA,76785.3,244768.95,239985.06,239050.15,239308.46,229256.26,232757.3
ORCHARD,396159.72,554817.57,537144.28,519525.99,570116.98,445091.53,485962.13
OUTRAM,118333.2,108057.28,103439.57,99982.56,148297.8,120779.68,117115.28
PASIR RIS,6042.2,33636.02,33493.87,34162.48,38701.82,32497.59,33944.06
PAYA LEBAR,1884.66,2294.32,2201.05,2030.31,2294.33,2205.06,2167.58
PIONEER,235.81,235.81,235.81,235.81,587.61,555.11,507.98
PUNGGOL,299.87,23241.13,25255.0,25766.31,29836.36,27604.71,29109.08
QUEENSTOWN,299768.63,741292.72,707845.04,722593.74,1178866.09,1109376.2,1094988.39
RIVER VALLEY,1195.89,3198.91,3137.41,3140.03,1524.61,1524.61,1524.61
ROCHOR,126595.0,123432.53,120138.29,122212.76,156896.33,128432.18,133459.1
SELETAR,106.77,106.77,106.77,106.77,270.21,226.43,250.78
SEMBAWANG,18660.22,11609.52,10548.29,10204.77,24588.74,22637.83,22321.18
SENGKANG,20177.35,21219.92,21193.17,22410.48,115039.62,112240.33,115008.76
SERANGOON,40957.36,42606.96,41828.39,41239.24,42420.07,38054.01,40618.04
SINGAPORE RIVER,157928.92,163905.21,160610.06,159920.92,159023.84,140498.32,134516.38
SOUTHERN ISLANDS,51330.63,182940.21,179540.12,176905.35,196619.83,150663.27,154456.56
SUNGEI KADUT,30406.7,31266.86,29939.54,28825.35,28356.76,21783.98,18185.1
TAMPINES,102440.45,656233.87,313344.54,508268.63,389653.49,358799.04,349345.38
TANGLIN,22673.14,59827.56,55289.86,56506.73,80352.3,70233.16,69171.09
TOA PAYOH,5490.31,60920.52,58347.16,58709.14,79270.69,80635.05,71377.1
TUAS,1328.63,1328.63,1328.63,1328.63,3659.22,2831.8,2809.39
WESTERN WATER CATCHMENT,29129.73,220787.67,207493.87,202769.46,202214.74,189750.05,191051.44
WOODLANDS,34460.15,64811.09,66414.12,64610.63,68111.67,62846.75,61350.0
YISHUN,20077.36,50062.98,51880.55,55200.43,77181.78,73815.41,76508.17
